Data,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber,Estoques,Ativos Biológicos,Tributos Diferidos,Despesas Antecipadas,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Outros,Tributos Diferidos,Adiantamento para Futuro Aumento Capital,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
30/09/2013,758432792.6,137242591.2,39349919.74,18545838.08,21519276.03,33570383.87,0,15246380.03,2212820.992,6797979.136,60923813.89,32213,300775.008,5326680.064,114315,0,33057851.39,2823246.08,4478903.808,14789826.56,15104979.97,464647618.6,80513777.66,0,758432792.6,69960163.33,6480929.792,24648884.22,11071223.81,18189127.68,1264643.968,0,5622231.04,1664700.032,1018419.008,345370427.4,232676769.8,541758.016,1614125.056,45640089.6,0,64897708.03,0,0,1789943.04,341312217.9,205410910.2,658003.968,0,134910066.7,17142515.71,-20738656.26,3929412.096,0,0
30/06/2013,749027655.7,144710008.8,51249524.74,21782052.86,22130065.41,31097264.13,0,13482127.36,2270287.104,2698704.896,58360389.63,33149,304342.016,5193338.88,93845,0,31718096.9,2671931.904,3890725.888,14454957.06,14610341.89,451353346,79993561.09,0,749027655.7,68163985.41,4863915.008,24127444.99,10357363.71,18199052.29,1139204.992,2898597.888,4991869.952,1586539.008,0,340838121.5,230841532.4,391076,1908145.024,43315970.05,0,64381399.04,0,0,1760430.976,338265109.6,205410910.2,677844.992,0,134910066.7,13745233.92,-20425189.38,3946262.016,0,0
31/03/2013,695313170.4,116893311,27235076.1,19301607.42,22441979.9,31801612.29,0,10736507.9,2067555.968,3308969.984,53752590.34,60464,309953.984,4664989.184,99387,0,29008295.94,2691312.896,3937014.016,12981172.22,11755719.68,431874146.3,81037361.15,0,695313170.4,68529086.46,4163907.072,24117803.01,11732359.17,14564371.46,928801.024,6256967.168,5088115.2,1676769.024,0,289119076.4,182369583.1,201816,1423878.016,41967820.8,0,63155970.05,0,0,2227709.952,335437289.5,205392150.5,641468.032,0,134928834.6,7541654.016,-14768188.42,1701367.04,0,0
31/12/2012,677716295.7,118101811.2,27628003.33,21315725.31,22680508.42,29735948.29,0,11386585.09,1692487.936,3662553.088,47215185.92,69747,289284,5230501.888,91847,0,21965811.71,2663419.904,3844950.016,13059622.91,12476892.16,418715664.4,81206755.33,0,677716295.7,69620580.35,4420578.816,23735508.99,12521621.5,15319804.93,1039305.024,6153527.808,4820607.488,1609627.008,0,262662045.7,180993540.1,181350,1395259.008,39261601.79,0,40830296.06,0,0,2353979.904,343079689.7,205392150.5,630288,0,134928834.6,0,50510,2077908.992,0,0
30/09/2012,646683164.7,125807689.7,30187315.2,22673561.6,23291283.46,30355707.9,0,12614975.49,2128644.992,4556199.936,37763989.5,348744.992,289188,5471611.904,89927,0,17741363.2,2383538.944,79538,11360073.73,12150946.82,388646502.4,82314018.82,0,646683164.7,64248496.13,4059792.896,25374959.62,10521298.94,15340941.31,964492.992,0,6489964.032,1497043.968,0,237786267.6,171215487,193099.008,1188610.048,36314427.39,0,28874643.46,0,0,2190925.056,342457459.5,205392150.5,625113.984,0,122611712,10765923.33,3062563.072,0,0,0
30/06/2012,628027752.4,116320632.8,26318336,19668449.28,22587244.54,30159056.9,0,11884001.28,1673936,4029609.984,43614257.15,6003112.96,288320.992,5488113.152,89897,0,18407311.36,2174970.112,101457,11061073.92,11864897.54,373934587.9,82293415.94,0,628027752.4,62912118.78,3436238.08,22352371.71,11034225.66,17610772.48,706030.016,0,6349629.952,1422854.016,0,226226667.5,161564475.4,219630,1239517.952,34821095.42,0,28381943.81,0,0,2113094.016,336775921.3,205392150.5,644488,0,122611712,5247747.072,2879834.112,0,0,0
31/03/2012,615818461.2,126373535.7,39904493.57,18002804.74,21436549.12,29396160.51,0,12179723.26,1569534.976,3884271.104,41317527.55,5725833.216,283587.008,5226506.24,81573,0,16314815.49,2306939.904,97187,11281088.51,12324189.18,353667252.2,82135908.35,0,615818461.2,65952464.9,2974569.984,20490270.72,10968638.46,18018197.5,875270.016,4256187.904,6870071.808,1499256.96,0,211043598.3,146118311.9,188352,1476861.952,35601940.48,0,27658139.65,0,0,2565967.104,336256430.8,205392150.5,558944,0,122611712,6607815.168,1085805.952,0,0,0
31/12/2011,599149969.4,121163677.7,35747241.98,16808468.48,21974700.03,28446924.8,0,12845667.33,1328418.048,4012265.984,41187319.81,5472748.032,274363.008,5122163.2,84122,0,17255798.78,1902788.992,148508,10926826.5,12248080.38,342266904.6,82283986.94,0,599149969.4,68212334.59,3182066.944,21417527.3,10968716.29,18966327.3,834291.008,3878128.896,7538239.232,1427035.008,0,198714032.1,136588369.9,187148.992,1816265.984,33268471.81,0,26853785.6,0,0,2384730.112,329838880.8,205379731.5,562643.008,0,122624131.1,0,345700,926684.992,0,0
30/09/2011,582124896.3,120493400.1,33659195.39,21410791.42,20466372.61,27397234.69,0,12568754.18,1449747.968,3541307.904,41251119.1,5197073.92,271636,5473781.248,109786,0,17243891.71,2042412.032,128205,10784336.9,9095670.784,327771652.1,83513065.47,0,582124896.3,67711238.14,3340273.92,21156509.7,11268713.47,20019052.54,206691.008,2608899.072,7756852.224,1354246.016,0,183216881.7,126825021.4,201878,1145853.056,30726025.22,0,24318107.65,0,0,2791977.984,328404782.1,205379731.5,101923,0,101301100.5,20445116.42,250479.008,926436.992,0,0
30/06/2011,554583457.8,119493476.4,34672615.42,24969263.1,18762930.18,25751416.83,0,11322895.36,1218744.064,2795610.88,38248833.02,4935611.904,263728.992,4609357.824,92331,0,16913208.32,1657555.968,120532,9656504.32,9237263.36,304924524.5,82679431.17,0,554583457.8,60821151.74,2942301.952,18616455.17,11546982.4,16737001.47,178690,2608899.072,6908325.888,1282493.056,0,167419625.5,111561424.9,176396,1062763.008,30846617.6,0,23772420.1,0,0,3631129.088,322711576.1,205379731.5,48674,0,101301100.5,16710102.02,144754,-872763.008,0,0
